Loca Time: 2017-6-5 21:48:9, Ticker Id: 1001, Field: 66, Price: 47.36
Loca Time: 2017-6-5 21:48:9, Ticker Id: 1001, Field: 67, Price: 47.37
Loca Time: 2017-6-5 21:48:9, Ticker Id: 1002, Field: 66, Price: 49.51
Loca Time: 2017-6-5 21:48:9, Ticker Id: 1002, Field: 67, Price: 49.53
Loca Time: 2017-6-5 21:48:11, Ticker Id: 1002, Field: 68, Price: 49.53
Loca Time: 2017-6-5 21:48:12, Ticker Id: 1001, Field: 68, Price: 47.38
Loca Time: 2017-6-5 21:48:14, Ticker Id: 1001, Field: 66, Price: 47.37
Loca Time: 2017-6-5 21:48:14, Ticker Id: 1001, Field: 67, Price: 47.39
Loca Time: 2017-6-5 21:48:14, Ticker Id: 1002, Field: 66, Price: 49.53
Loca Time: 2017-6-5 21:48:14, Ticker Id: 1002, Field: 67, Price: 49.55
Loca Time: 2017-6-5 21:48:18, Ticker Id: 1001, Field: 67, Price: 47.38
Loca Time: 2017-6-5 21:48:18, Ticker Id: 1002, Field: 66, Price: 49.52
Loca Time: 2017-6-5 21:48:18, Ticker Id: 1002, Field: 67, Price: 49.54
Loca Time: 2017-6-5 21:48:23, Ticker Id: 1001, Field: 68, Price: 47.39
Loca Time: 2017-6-5 21:48:23, Ticker Id: 1001, Field: 66, Price: 47.38
Loca Time: 2017-6-5 21:48:23, Ticker Id: 1001, Field: 67, Price: 47.4
Loca Time: 2017-6-5 21:48:23, Ticker Id: 1002, Field: 66, Price: 49.54
Loca Time: 2017-6-5 21:48:23, Ticker Id: 1002, Field: 67, Price: 49.56
Loca Time: 2017-6-5 21:48:28, Ticker Id: 1001, Field: 66, Price: 47.37
Loca Time: 2017-6-5 21:48:28, Ticker Id: 1001, Field: 67, Price: 47.39
Loca Time: 2017-6-5 21:48:28, Ticker Id: 1002, Field: 66, Price: 49.52
Loca Time: 2017-6-5 21:48:28, Ticker Id: 1002, Field: 67, Price: 49.55
Loca Time: 2017-6-5 21:48:34, Ticker Id: 1001, Field: 66, Price: 47.38
Loca Time: 2017-6-5 21:48:34, Ticker Id: 1002, Field: 66, Price: 49.53
Loca Time: 2017-6-5 21:48:38, Ticker Id: 1001, Field: 66, Price: 47.37
Loca Time: 2017-6-5 21:48:44, Ticker Id: 1001, Field: 68, Price: 47.38
Loca Time: 2017-6-5 21:48:49, Ticker Id: 1001, Field: 66, Price: 47.38
Loca Time: 2017-6-5 21:48:49, Ticker Id: 1002, Field: 66, Price: 49.54
Loca Time: 2017-6-5 21:48:49, Ticker Id: 1002, Field: 67, Price: 49.56
Loca Time: 2017-6-5 21:48:54, Ticker Id: 1001, Field: 66, Price: 47.36
Loca Time: 2017-6-5 21:48:54, Ticker Id: 1001, Field: 67, Price: 47.38
Loca Time: 2017-6-5 21:48:54, Ticker Id: 1002, Field: 66, Price: 49.52
Loca Time: 2017-6-5 21:48:54, Ticker Id: 1002, Field: 67, Price: 49.54
Loca Time: 2017-6-5 21:48:59, Ticker Id: 1001, Field: 66, Price: 47.37
Loca Time: 2017-6-5 21:48:59, Ticker Id: 1002, Field: 66, Price: 49.53
Loca Time: 2017-6-5 21:48:59, Ticker Id: 1002, Field: 67, Price: 49.55
Loca Time: 2017-6-5 21:49:4, Ticker Id: 1002, Field: 66, Price: 49.52
Loca Time: 2017-6-5 21:49:4, Ticker Id: 1002, Field: 67, Price: 49.54
Loca Time: 2017-6-5 21:49:14, Ticker Id: 1001, Field: 67, Price: 47.39
Loca Time: 2017-6-5 21:49:14, Ticker Id: 1002, Field: 66, Price: 49.53
